// Help:
// - Comment lines for this CSV file are starting with '//'
// - Lines that will end up as commented lines in the generated ODB file are starting with '#'
// - Lines that will end up as empty lines in the generated ODB file are starting with '@'
// - An additional separator line will be generated in the ODB file after each valid CSV row entries. (The separator can be configured in the .py script)
// 
// Default (mandatory) CSV columns: 
// Description, Family ID, Silicon ID, CodeFlash #0 Large Sectors, CodeFlash #0 Small Sectors, WorkFlash #0 Large Sectors, WorkFlash #0 Small Sectors
//
// Further optional columns:
// CodeFlash #1 Large Sectors, CodeFlash #1 Small Sectors, WorkFlash #1 Large Sectors, WorkFlash #1 Small Sectors
//
// Note: The necessary values (besides Family ID) can be retrieved from the 'Ordering Information' in the device datasheets
//==========================================================================================================================

#====================================== Traveo II - CYT2B6 series (TVII-B-E-512K) ===============================================
@
"CYT2B94BAS/E (80-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, SHE)",          0x104, 0xe6d1, 62, 16, 48, 256
"CYT2B94CAS/E (80-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, HSM)",          0x104, 0xe6d2, 62, 16, 48, 256
"CYT2B94DAS/E (80-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, HSM, RSA 4K)",  0x104, 0xe6d3, 62, 16, 48, 256
"CYT2B95BAS/E (100-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, SHE)",         0x104, 0xe6d9, 62, 16, 48, 256
"CYT2B95CAS/E (100-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, HSM)",         0x104, 0xe6da, 62, 16, 48, 256
"CYT2B95DAS/E (100-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, HSM, RSA 4K)", 0x104, 0xe6db, 62, 16, 48, 256
"CYT2B97BAS/E (144-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, SHE)",         0x104, 0xe6e1, 62, 16, 48, 256
"CYT2B97CAS/E (144-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, HSM)",         0x104, 0xe6e2, 62, 16, 48, 256
"CYT2B97DAS/E (144-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, HSM, RSA 4K)", 0x104, 0xe6e3, 62, 16, 48, 256
"CYT2B98BAS/E (176-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, SHE)",         0x104, 0xe6e9, 62, 16, 48, 256
"CYT2B98CAS/E (176-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, HSM)",         0x104, 0xe6ea, 62, 16, 48, 256
"CYT2B98DAS/E (176-LQFP, CodeFlash: 2112KB, WorkFlash: 128KB, RAM: 256KB, HSM, RSA 4K)", 0x104, 0xe6eb, 62, 16, 48, 256
@
#====================================== Traveo II - CYT2BL series (TVII-B-E-4M) ===============================================
@
"CYT2BL3BAS/E (64-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, SHE)",          0x108, 0xea01, 126, 16, 48, 256
"CYT2BL3CAS/E (64-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM)",          0x108, 0xea02, 126, 16, 48, 256
"CYT2BL3DAS/E (64-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM, RSA 4K)",  0x108, 0xea0c, 126, 16, 48, 256
"CYT2BL4BAS/E (80-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, SHE)",          0x108, 0xea03, 126, 16, 48, 256
"CYT2BL4CAS/E (80-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM)",          0x108, 0xea04, 126, 16, 48, 256
"CYT2BL4DAS/E (80-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM, RSA 4K)",  0x108, 0xea0d, 126, 16, 48, 256
"CYT2BL5BAS/E (100-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, SHE)",         0x108, 0xea05, 126, 16, 48, 256
"CYT2BL5CAS/E (100-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM)",         0x108, 0xea06, 126, 16, 48, 256
"CYT2BL5DAS/E (100-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM, RSA 4K)", 0x108, 0xea0e, 126, 16, 48, 256
"CYT2BL7BAS/E (144-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, SHE)",         0x108, 0xea07, 126, 16, 48, 256
"CYT2BL7CAS/E (144-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM)",         0x108, 0xea08, 126, 16, 48, 256
"CYT2BL7DAS/E (144-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM, RSA 4K)", 0x108, 0xea0f, 126, 16, 48, 256
"CYT2BL8BAS/E (176-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, SHE)",         0x108, 0xea09, 126, 16, 48, 256
"CYT2BL8CAS/E (176-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM)",         0x108, 0xea0a, 126, 16, 48, 256
"CYT2BL8DAS/E (176-LQFP, CodeFlash: 4160KB, WorkFlash: 128KB, RAM: 512KB, HSM, RSA 4K)", 0x108, 0xea10, 126, 16, 48, 256
@
#====================================== Traveo II - CYT4BB/CYT3BB series (TVII-B-H-4M) ========================================
@
"CYT3BB5CES/E (100-TEQFP, 1xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB)",         0x107, 0xe919, 126, 16, 96, 512
"CYT3BB5DES/E (100-TEQFP, 1xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB, RSA 4K)", 0x107, 0xe921, 126, 16, 96, 512
"CYT3BB7CES/E (144-TEQFP, 1xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB)",         0x107, 0xe91a, 126, 16, 96, 512
"CYT3BB7DES/E (144-TEQFP, 1xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB, RSA 4K)", 0x107, 0xe922, 126, 16, 96, 512
"CYT3BB8CES/E (176-TEQFP, 1xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB)",         0x107, 0xe91b, 126, 16, 96, 512
"CYT3BB8DES/E (176-TEQFP, 1xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB, RSA 4K)", 0x107, 0xe923, 126, 16, 96, 512
"CYT3BBBCES/E (272-BGA, 1xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB)",           0x107, 0xe91c, 126, 16, 96, 512
"CYT3BBBDES/E (272-BGA, 1xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB, RSA 4K)",   0x107, 0xe924, 126, 16, 96, 512
"CYT4BB5CES/E (100-TEQFP, 2xCM7, CodeFlash: 4160KB, WorkFlash: 256KB, RAM: 768KB)",         0x107, 0xe91d, 126, 16, 96, 512
